,Company Name,CIK
1305,HARLEYSVILLE SAVINGS FINANCIAL CORP,1107160
1306,HARMAN INTERNATIONAL INDUSTRIES INC /DE/,800459
1307,HARMONIC INC,851310
1308,HARRAHS ENTERTAINMENT INC,858339
1309,HARRIS & HARRIS GROUP INC /NY/,893739
1310,HARRIS CORP /DE/,202058
1311,HARRIS INTERACTIVE INC,1094238
1312,HARRIS PREFERRED CAPITAL CORP,1046788
1313,HARSCO CORP,45876
1314,HARTE HANKS INC,45919
1315,HARTFORD FINANCIAL SERVICES GROUP INC/DE,874766
1316,HARTFORD LIFE INSURANCE CO,45947
1317,HARVARD BIOSCIENCE INC,1123494
1318,HARVEST NATURAL RESOURCES INC,845289
1319,HASBRO INC,46080
1320,HAUPPAUGE DIGITAL INC,930803
1321,HAVERTY FURNITURE COMPANIES INC,216085
1322,HAWAIIAN ELECTRIC CO INC,46207
1323,HAWAIIAN ELECTRIC INDUSTRIES INC,354707
1324,HAWKINS INC,46250
1325,HCA INC/TN,860730
1326,HCC INSURANCE HOLDINGS INC/DE/,888919
1327,HEADWATERS INC,1003344
1328,HEALTH CARE PROPERTY INVESTORS INC,765880
1329,HEALTH CARE REIT INC /DE/,766704
1330,HEALTH MANAGEMENT ASSOCIATES INC,792985
1331,HEALTH NET INC,916085
1332,HEALTHCARE SERVICES GROUP INC,731012
1333,HEALTHEXTRAS INC,1090403
1334,HEALTHSTREAM INC,1095565
1335,HEARTLAND EXPRESS INC,799233
1336,HEARTLAND FINANCIAL USA INC,920112
1337,HECLA MINING CO/DE/,719413
1338,HEICO CORP,46619
1339,HEIDRICK & STRUGGLES INTERNATIONAL INC,1066605
1340,HEINZ H J CO,46640
1341,HELEN OF TROY LTD,916789
1342,HELMERICH & PAYNE INC,46765
1343,HEMACARE CORP /CA/,801748
1344,HEMISPHERX BIOPHARMA INC,946644
1345,HENRY JACK & ASSOCIATES INC,779152
1346,HERBALIFE LTD.,1180262
1347,HERITAGE COMMERCE CORP,1053352
1348,HERITAGE FINANCIAL CORP /WA/,1046025
1349,HERSHEY FOODS CORP,47111
1350,HERTZ CORP,47129
1351,HESKA CORP,1038133
1352,HEWLETT PACKARD CO,47217
1353,HEXCEL CORP /DE/,717605
1354,HF FINANCIAL CORP,881790
1355,HI TECH PHARMACAL CO INC,887497
1356,HICKORY TECH CORP,766561
1357,HIGHLANDS BANKSHARES INC /VA/,1008579
1358,HIGHLANDS BANKSHARES INC /WV/,756862
1359,HIGHWOODS REALTY LTD PARTNERSHIP,941713
1360,HILLENBRAND INDUSTRIES INC,47518
1361,HILLMAN COMPANIES INC,1029831
1362,HILLS BANCORPORATION,732417
1363,HINES REAL ESTATE INVESTMENT TRUST INC,1262959
1364,HMN FINANCIAL INC,921183
1365,HMS HOLDINGS CORP,1196501
1366,HNI CORP,48287
1367,HOLLIS EDEN PHARMACEUTICALS INC /DE/,899394
1368,HOLLY CORP,48039
1369,HOLLYWOOD MEDIA CORP,912544
1370,HOLOGIC INC,859737
1371,HOME FEDERAL BANCORP,867493
1372,HOME PROPERTIES INC,923118
1373,HOMEFED CORP,833795
1374,HOMESTORE INC,1085770
1375,HONEYWELL INTERNATIONAL INC,773840
1376,HOOKER FURNITURE CORP,1077688
1377,HOOPER HOLMES INC,741815
1378,HOPFED BANCORP INC,1041550
1379,HORACE MANN EDUCATORS CORP /DE/,850141
1380,HORIZON BANCORP /IN/,706129
1381,HORMEL FOODS CORP /DE/,48465
1382,HORNBECK OFFSHORE SERVICES INC /LA,1131227
1383,HORTON D R INC /DE/,882184
1384,HOSPIRA INC,1274057
1385,HOST MARRIOTT CORP/,1070750
1386,HOVNANIAN ENTERPRISES INC,357294
1387,HSBC FINANCE CORP,354964
1388,HSBC USA INC /MD/,83246
1389,HUB GROUP INC,940942
1390,HUBBELL INC,48898
1391,HUDSON CITY BANCORP INC,921847
1392,HUDSON HIGHLAND GROUP INC,1210708
1393,HUDSON VALLEY HOLDING CORP,722256
1394,HUMAN GENOME SCIENCES INC,901219
1395,HUMANA INC,49071
1396,HUMPHREY HOSPITALITY TRUST INC,929545
1397,HUNT J B TRANSPORT SERVICES INC,728535
1398,HUNTINGTON BANCSHARES INC/MD,49196
1399,HUNTINGTON PREFERRED CAPITAL INC,1140657
1400,HUTCHINSON TECHNOLOGY INC,772897
1401,HUTTIG BUILDING PRODUCTS INC,1093082
1402,HYBRIDON INC,861838
1403,HYTHIAM INC,1136174
1404,"HOUSEVALUES, INC.",1298978
1405,HUNTSMAN CORP,1307954
1406,HURON CONSULTING GROUP INC.,1289848
1407,I SECTOR CORP,1020017
1408,IAC/INTERACTIVECORP,891103
1409,IBERIABANK CORP,933141
1410,IBT BANCORP INC /MI/,842517
1411,ICAD INC,749660
1412,ICU MEDICAL INC/DE,883984
1413,IDACORP INC,1057877
1414,IDAHO POWER CO,49648
1415,IDENIX PHARMACEUTICALS INC,1093649
1416,IDEX CORP /DE/,832101
1417,IDEXX LABORATORIES INC /DE,874716
1418,IDS LIFE INSURANCE CO,727892
1419,IDT CORP,1005731
1420,IEC ELECTRONICS CORP,49728
1421,IFT CORP,875296
1422,II-VI INC,820318
1423,ILLINOIS TOOL WORKS INC,49826
1424,ILLUMINA INC,1110803
1425,IMAGE ENTERTAINMENT INC,216324
1426,IMAGING DIAGNOSTIC SYSTEMS INC /FL/,790652
1427,IMATION CORP,1014111
1428,IMAX CORP,921582
1429,IMERGENT INC,1075736
1430,IMMEDIATEK INC,1084182
1431,IMMERSION CORP,1058811
1432,IMMUCELL CORP /DE/,811641
1433,IMMUNOGEN INC,855654
1434,IMMUNOMEDICS INC,722830
1435,IMPAC MORTGAGE HOLDINGS INC,1000298
1436,IMPERIAL INDUSTRIES INC,49930
1437,IMPERIAL OIL LTD,49938
1438,INCOME OPPORTUNITY REALTY INVESTORS INC /TX/,949961
1439,INCYTE CORP,879169
1440,INDEPENDENCE HOLDING CO,701869
1441,INDEPENDENT BANK CORP,776901
1442,INDEPENDENT BANK CORP /MI/,39311
1443,INDEPENDENT GASOLINE & OIL CO OF ROCHESTER,1045547
1444,INDIANA MICHIGAN POWER CO,50172
1445,INDUSTRIAL MINERALS INC,1035422
1446,INDUSTRIAL SERVICES OF AMERICA INC /FL,4187
1447,INFINITY INC,822746
1448,INFINITY PROPERTY & CASUALTY CORP,1195933
1449,INFORMATICA CORP,1080099
1450,INFOSPACE INC,1068875
1451,ING LIFE INSURANCE & ANNUITY CO,837010
1452,ING USA ANNUITY & LIFE INSURANCE CO,836658
1453,INGLES MARKETS INC,50493
1454,INGRAM MICRO INC,1018003
1455,INHIBITEX INC,1274913
1456,INLAND REAL ESTATE CORP,923284
1457,INLAND WESTERN RETAIL REAL ESTATE TRUST INC,1222840
1458,INNODATA ISOGEN INC,903651
1459,INNOTRAC CORP,1051114
1460,INNOVATIVE SOLUTIONS & SUPPORT INC,836690
1461,INNOVO GROUP INC,844143
1462,INPUT OUTPUT INC,866609
1463,INSIGHT ENTERPRISES INC,932696
1464,INSIGNIA SYSTEMS INC/MN,875355
1465,INSITE VISION INC,802724
1466,INSITUFORM TECHNOLOGIES INC,353020
1467,INSMED INC,1104506
1468,INSTEEL INDUSTRIES INC,764401
1469,INSWEB CORP,1077370
1470,INTEGRA LIFESCIENCES HOLDINGS CORP,917520
1471,INTEGRAL VISION INC,719152
1472,INTEGRAMED AMERICA INC,885988
1473,INTEGRATED DEVICE TECHNOLOGY INC,703361
1474,INTEGRATED ELECTRICAL SERVICES INC,1048268
1475,INTEGRATED SILICON SOLUTION INC,854701
1476,INTEL CORP,50863
1477,INTELLI CHECK INC,1040896
1478,INTER PARFUMS INC,822663
1479,INTERACTIVE DATA CORP/MA/,888165
1480,INTERFACE INC,715787
1481,"INTERLINE BRANDS, INC./DE",1292900
1482,INTERMOUNTAIN COMMUNITY BANCORP,1284506
1483,INTERMUNE INC,1087432
1484,INTERNATIONAL BANCSHARES CORP,315709
1485,INTERNATIONAL BUSINESS MACHINES CORP,51143
1486,INTERNATIONAL FLAVORS & FRAGRANCES INC,51253
1487,INTERNATIONAL FUEL TECHNOLOGY INC,1078723
1488,INTERNATIONAL LEASE FINANCE CORP,714311
1489,INTERNATIONAL PAPER CO /NEW/,51434
1490,INTERNATIONAL RECTIFIER CORP /DE/,316793
1491,INTERNATIONAL SHIPHOLDING CORP,278041
1492,INTERNATIONAL SPEEDWAY CORP,51548
1493,INTERNET AMERICA INC,1001279
1494,INTERNET CAPITAL GROUP INC,1085621
1495,INTERNET COMMERCE CORP,894738
1496,INTERPHASE CORP,728249
1497,INTERSECTIONS INC,1095277
1498,INTERSIL CORP/DE,1096325
1499,INTERSTATE POWER & LIGHT CO,52485
1500,INTERVEST BANCSHARES CORP,927807
1501,INTEST CORP,1036262
1502,INTEVAC INC,1001902
1503,INTRABIOTICS PHARMACEUTICALS INC /DE,1103390
1504,INTUIT INC,896878
1505,INTUITIVE SURGICAL INC,1035267
1506,INVACARE CORP,742112
1507,INVERNESS MEDICAL INNOVATIONS INC,1145460
1508,INVESTMENT TECHNOLOGY GROUP INC,920424
1509,INVESTORS CAPITAL HOLDINGS LTD,1001871
1510,INVESTORS TITLE CO,720858
1511,INVITROGEN CORP,1073431
1512,"IONATRON, INC.",879911
1513,"IPALCO ENTERPRISES, INC.",728391
1514,IPARTY CORP,1078383
1515,IPASS INC,1053374
1516,IPAYMENT INC,1140184
1517,IRIS INTERNATIONAL INC,319240
1518,IRON MOUNTAIN INC/PA,1020569
1519,IRVINE SENSORS CORP/DE/,357108
1520,ISIS PHARMACEUTICALS INC,874015
1521,ISLE OF CAPRI CASINOS INC,863015
1522,ISOLAGEN INC,357097
1523,ISRAMCO INC,719209
1524,ISTA PHARMACEUTICALS INC,930553
1525,ISTAR FINANCIAL INC,1095651
1526,ITC DELTACOM INC,1041954
1527,"ITERIS, INC.",350868
1528,ITRON INC /WA/,780571
1529,ITT EDUCATIONAL SERVICES INC,922475
1530,ITT INDUSTRIES INC,216228
1531,IVANHOE ENERGY INC,1106935
1532,IVAX DIAGNOSTICS INC,1095858
1533,IXYS CORP /DE/,945699
1534,J P MORGAN CHASE & CO,19617
1535,J&J SNACK FOODS CORP,785956
1536,J2 GLOBAL COMMUNICATIONS INC,1084048
1537,JABIL CIRCUIT INC,898293
1538,JACK IN THE BOX INC /NEW/,807882
1539,JACOBS ENGINEERING GROUP INC /DE/,52988
1540,JACOBS ENTERTAINMENT INC,1173284
1541,JAKKS PACIFIC INC,1009829
1542,JANUS CAPITAL GROUP INC,1065865
1543,JARDEN CORP,895655
1544,JDA SOFTWARE GROUP INC,1006892
1545,JDS UNIPHASE CORP /CA/,912093
1546,JEFFERIES GROUP INC /DE/,1084580
1547,JEFFERSON BANCSHARES INC,1222915
1548,JEFFERSONVILLE BANCORP,874495
1549,JERSEY CENTRAL POWER & LIGHT CO,53456
1550,JETBLUE AIRWAYS CORP,1158463
1551,JEWETT CAMERON TRADING CO LTD,885307
1552,JL HALSEY CORP,1166220
1553,JMB 245 PARK AVENUE ASSOCIATES LTD,747159
1554,JOHNSON CONTROLS INC,53669
1555,JOHNSON OUTDOORS INC,788329
1556,JONES APPAREL GROUP INC,874016
1557,JONES FINANCIAL COMPANIES LP LLP,815917
1558,JONES LANG LASALLE INC,1037976
1559,JOURNAL COMMUNICATIONS INC,1232241
1560,JOY GLOBAL INC,801898
1561,JUNIATA VALLEY FINANCIAL CORP,714712
1562,JUNIPER NETWORKS INC,1043604
1563,JUPITERMEDIA CORP,1083712
1564,JAMES RIVER COAL CO,1297720
1565,K SWISS INC,862480
1566,KADANT INC,886346
1567,KAISER ALUMINUM CORP,811596
1568,KAMAN CORP,54381
1569,KANSAS CITY LIFE INSURANCE CO,54473
1570,KANSAS CITY POWER & LIGHT CO,54476
1571,KAYDON CORP,740694
1572,KELLOGG CO,55067
1573,KELLY SERVICES INC,55135
1574,KEMET CORP,887730
1575,KENNAMETAL INC,55242
1576,KENSEY NASH CORP,1002811
1577,KENTUCKY BANCSHARES INC /KY/,1000232
1578,KENTUCKY INVESTORS INC,55362
1579,KENTUCKY UTILITIES CO,55387
1580,KERYX BIOPHARMACEUTICALS INC,1114220
1581,KEWAUNEE SCIENTIFIC CORP /DE/,55529
1582,KEY TECHNOLOGY INC,906193
1583,KEY TRONIC CORP,719733
1584,KEYCORP /NEW/,91576
1585,KEYNOTE SYSTEMS INC,1032761
1586,KFX INC,912365
1587,KIANTONE PIPELINE CO,1045539
1588,KIANTONE PIPELINE CORP,830253
1589,KILLBUCK BANCSHARES INC,1060455
1590,KILROY REALTY CORP,1025996
1591,KIMBALL INTERNATIONAL INC,55772
1592,KIMBERLY CLARK CORP,55785
1593,KIMCO REALTY CORP,879101
1594,KINDRED HEALTHCARE INC,1060009
1595,KINETIC CONCEPTS INC /TX/,831967
1596,KIRBY CORP,56047
1597,KLA TENCOR CORP,319201
1598,KMG CHEMICALS INC,1028215
1599,KNIGHT TRADING GROUP INC,1060749
1600,KNIGHT TRANSPORTATION INC,929452
1601,KNOLL INC,1011570
1602,KNOLOGY INC,1096788
1603,KNOT INC,1062292
1604,KOHLS CORPORATION,885639
1605,KOPIN CORP,771266
1606,KOSS CORP,56701
1607,KRAFT FOODS INC,1103982
1608,KRONOS INTERNATIONAL INC,1176236
1609,KRONOS WORLDWIDE INC,1257640
1610,KSW INC,1004125
1611,KULICKE & SOFFA INDUSTRIES INC,56978
1612,KV PHARMACEUTICAL CO /DE/,57055
1613,KVH INDUSTRIES INC \DE\,1007587
1614,KWIK FIL INC,1045540
1615,KWIK FILL INC,1045541
1616,KEARNY FINANCIAL CORP.,1295664
1617,L 3 COMMUNICATIONS CORP,1039101
1618,L 3 COMMUNICATIONS HOLDINGS INC,1056239
1619,LA JOLLA PHARMACEUTICAL CO,920465
1620,LA-Z-BOY INC,57131
1621,LABOR READY INC,768899
1622,LABORATORY CORP OF AMERICA HOLDINGS,920148
1623,LACLEDE GAS CO,57183
1624,LACLEDE GROUP INC,1126956
1625,LACROSSE FOOTWEAR INC,919443
1626,LADENBURG THALMANN FINANCIAL SERVICES INC,1029730
1627,LAKE AREA CORN PROCESSORS LLC,1156174
1628,LAKELAND BANCORP INC,846901
1629,LAKELAND FINANCIAL CORP,721994
1630,LAM RESEARCH CORP,707549
1631,LAMAR ADVERTISING CO/NEW,1090425
1632,LAMAR MEDIA CORP/DE,899045
1633,LANCASTER COLONY CORP,57515
1634,LANCE INC,57528
1635,LANDAUER INC,825410
1636,LANDEC CORP \CA\,1005286
1637,LANDMARK BANCORP INC,1141688
1638,LANDSTAR SYSTEM INC,853816
1639,LANNETT CO INC,57725
1640,LANTRONIX INC,1114925
1641,LAS VEGAS SANDS CORP,1300514
1642,LATTICE SEMICONDUCTOR CORP,855658
1643,LAWSON PRODUCTS INC/NEW/DE/,703604
1644,LBI MEDIA HOLDINGS INC,1267023
1645,LCA VISION INC,1003130
1646,LCNB CORP,1074902
1647,LEAPFROG ENTERPRISES INC,1138951
1648,LEAR CORP /DE/,842162
1649,LEARNING TREE INTERNATIONAL INC,1002037
1650,LEATHER FACTORY INC,909724
1651,LECROY CORP,943580
1652,LEE ENTERPRISES INC,58361
1653,LEE SARA CORP,23666
1654,LEESPORT FINANCIAL CORP,775662
1655,LEGG MASON INC,704051
1656,LEGGETT & PLATT INC,58492
1657,LENNAR CORP /NEW/,920760
1658,LENNOX INTERNATIONAL INC,1069202
1659,LEUCADIA NATIONAL CORP,96223
1660,LEVEL 3 COMMUNICATIONS INC,794323
1661,LEVEL 8 SYSTEMS INC,945384
1662,LEVI STRAUSS & CO,94845
1663,LEXICON GENETICS INC/TX,1062822
1664,LEXMARK INTERNATIONAL INC /KY/,1001288
1665,LIBBEY INC,902274
1666,LIFE TIME FITNESS INC,1076195
1667,LIFETIME HOAN CORP,874396
1668,LIGHTPATH TECHNOLOGIES INC,889971
1669,LILLY ELI & CO,59478
1670,LIN TELEVISION CORP,931058
1671,LIN TV CORP,1166789
1672,LINCARE HOLDINGS INC,882235
1673,LINCOLN ELECTRIC HOLDINGS INC,59527
1674,LINCOLN NATIONAL CORP,59558
1675,LINDSAY MANUFACTURING CO,836157
1676,LINEAR TECHNOLOGY CORP /CA/,791907
1677,LIONBRIDGE TECHNOLOGIES INC /DE/,1058299
1678,LIONS GATE ENTERTAINMENT CORP /CN/,929351
1679,LIQUIDMETAL TECHNOLOGIES INC,1141240
1680,LITHIA MOTORS INC,1023128
1681,LITTELFUSE INC /DE,889331
1682,LIVEPERSON INC,1102993
1683,LKQ CORP,1065696
1684,LMI AEROSPACE INC,1059562
1685,LML PAYMENT SYSTEMS INC,781891
1686,LNB BANCORP INC,737210
1687,LOCKHEED MARTIN CORP,936468
1688,LODGENET ENTERTAINMENT CORP,911002
1689,LOEWS CORP,60086
1690,LOGIC DEVICES INC,802851
1691,LOJACK CORP,355777
1692,LOOKSMART LTD,1077866
1693,LORAL SPACE & COMMUNICATIONS LTD,1006269
1694,LOUISIANA-PACIFIC CORP,60519
1695,LOUISVILLE GAS & ELECTRIC CO /KY/,60549
1696,LSB BANCSHARES INC /NC/,714530
1697,LSB INDUSTRIES INC,60714
1698,LSI INDUSTRIES INC,763532
1699,LSI LOGIC CORP,703360
1700,LTC PROPERTIES INC,887905
1701,LTX CORP,357020
1702,LUBYS INC,16099
1703,LUFKIN INDUSTRIES INC,60849
1704,LUMINEX CORP,1033905
1705,LYDALL INC /DE/,60977
1706,M & F WORLDWIDE CORP,945235
1707,M I HOMES INC,799292
1708,M&T BANK CORP,36270
1709,MAC-GRAY CORP,1038280
1710,MACATAWA BANK CORP,1053584
1711,MACE SECURITY INTERNATIONAL INC,912607
1712,MACERICH CO,912242
1713,MACK CALI REALTY CORP,924901
1714,MACKINAC FINANCIAL CORP /MI/,36506
1715,MACROPORE INC,1095981
1716,MADISON GAS & ELECTRIC CO,61339
1717,MAGELLAN HEALTH SERVICES INC,19411
1718,MAGELLAN PETROLEUM CORP /DE/,61398
1719,MAGMA DESIGN AUTOMATION INC,1065034
1720,MAGNETEK INC,751085
1721,MAGUIRE PROPERTIES INC,1204560
1722,MANHATTAN ASSOCIATES INC,1056696
1723,MANITOWOC CO INC,61986
1724,MANNATECH INC,1056358
1725,MANNKIND CORP,899460
1726,MANPOWER INC /WI/,871763
1727,MANTECH INTERNATIONAL CORP,892537
1728,MARATHON OIL CORP,101778
1729,MARCUS CORP,62234
1730,MARINE PRODUCTS CORP,1129155
1731,MARINEMAX INC,1057060
1732,MARKEL CORP,1096343
1733,MARKETAXESS HOLDINGS INC,1278021
1734,MARLIN BUSINESS SERVICES CORP,1260968
1735,MARRIOTT INTERNATIONAL INC /MD/,1048286
1736,"MARSH & MCLENNAN COMPANIES, INC.",62709
1737,MARSHALL EDWARDS INC,1262104
1738,MARTEN TRANSPORT LTD,799167
1739,MARTHA STEWART LIVING OMNIMEDIA INC,1091801
1740,MARTIN MARIETTA MATERIALS INC,916076
1741,MASCO CORP /DE/,62996
1742,MASTEC INC,15615
1743,MASTERCARD INC,1141391
1744,MATERIAL SCIENCES CORP,755003
1745,MATRIX SERVICE CO,866273
1746,MATTEL INC /DE/,63276
1747,MATTHEWS INTERNATIONAL CORP,63296
1748,MATTSON TECHNOLOGY INC,928421
1749,MAUI LAND & PINEAPPLE CO INC,63330
1750,MAXIM INTEGRATED PRODUCTS INC,743316
1751,MAXIMUS INC,1032220
1752,MAXWELL TECHNOLOGIES INC,319815
1753,MAXYGEN INC,1068796
1754,MAYS J W INC,54187
1755,MBIA INC,814585
1756,MBT FINANCIAL CORP,1118237
1757,MCCLATCHY CO,1056087
1758,MCCORMICK & CO INC,63754
1759,MCDERMOTT INTERNATIONAL INC,708819
1760,MCDONALDS CORP,63908
1761,MCF CORP,826683
1762,MCG CAPITAL CORP,1141299
1763,MCGRATH RENTCORP,752714
1764,MCGRAW-HILL COMPANIES INC,64040
1765,MCKESSON CORP,927653
1766,MCMORAN EXPLORATION CO /DE/,64279
1767,MDC HOLDINGS INC,773141
1768,MDU RESOURCES GROUP INC,67716
1769,MEADE INSTRUMENTS CORP,1032067
1770,MEADOWBROOK INSURANCE GROUP INC,949156
1771,MEADWESTVACO CORP,1159297
1772,MEASUREMENT SPECIALTIES INC,778734
1773,MECHANICAL TECHNOLOGY INC,64463
1774,MEDCATH CORP,1139463
1775,MEDCO HEALTH SOLUTIONS INC,1170650
1776,MEDIA GENERAL INC,216539
1777,MEDIACOM CAPITAL CORP,1064117
1778,MEDIACOM LLC,1064116
1779,MEDICAL ACTION INDUSTRIES INC,748270
1780,MEDICAL INFORMATION TECHNOLOGY INC,1011452
1781,MEDICINES CO /DE,1113481
1782,MEDICINOVA INC,1226616
1783,MEDICIS PHARMACEUTICAL CORP,859368
1784,MEDICSIGHT INC,1001601
1785,MEDIWARE INFORMATION SYSTEMS INC,874733
1786,MEDTOX SCIENTIFIC INC,739944
1787,MEDTRONIC INC,64670
1788,MEMC ELECTRONIC MATERIALS INC,945436
1789,MENTOR GRAPHICS CORP,701811
1790,MERCANTILE BANK CORP,1042729
1791,MERCHANTS BANCSHARES INC,726517
1792,MERCURY COMPUTER SYSTEMS INC,1049521
1793,MERCURY GENERAL CORP,64996
1794,MEREDITH CORP,65011
1795,MERGE TECHNOLOGIES INC,944765
1796,MERIDIAN BIOSCIENCE INC,794172
1797,MERIT MEDICAL SYSTEMS INC,856982
1798,MERRILL LYNCH & CO INC,65100
1799,META FINANCIAL GROUP INC,907471
1800,METALICO INC,1048685
1801,METALS USA INC,1038363
1802,METHODE ELECTRONICS INC,65270
1803,METLIFE INC,1099219
1804,METRETEK TECHNOLOGIES INC,882154
1805,METROCORP BANCSHARES INC,1068300
1806,METROPOLITAN EDISON CO,65350
1807,METROPOLITAN HEALTH NETWORKS INC,1009379
1808,METTLER TOLEDO INTERNATIONAL INC/,1037646
1809,MEXCO ENERGY CORP,66418
1810,MGE ENERGY INC,1161728
1811,MGIC INVESTMENT CORP,876437
1812,MGP INGREDIENTS INC,835011
1813,MHI HOSPITALITY CORP,1301236
1814,MICREL INC,932111
1815,MICROCHIP TECHNOLOGY INC,827054
1816,MICROFINANCIAL INC,827230
1817,MICRON TECHNOLOGY INC,723125
1818,MICROS SYSTEMS INC,320345
1819,MICROSEMI CORP,310568
1820,MICROSOFT CORP,789019
1821,MICROSTRATEGY INC,1050446
1822,MICROVISION INC,65770
1823,MICROWAVE FILTER CO INC /NY/,716688
1824,MID AMERICA APARTMENT COMMUNITIES INC,912595
1825,MID PENN BANCORP INC,879635
1826,MID WISCONSIN FINANCIAL SERVICES INC,785024
1827,MIDAMERICAN ENERGY CO,928576
1828,MIDAMERICAN ENERGY HOLDINGS CO /NEW/,1081316
1829,MIDAS INC,1046131
1830,MIDDLEBURG FINANCIAL CORP,914138
1831,MIDDLEBY CORP,769520
1832,MIDDLEFIELD BANC CORP,836147
1833,MIDDLESEX WATER CO,66004
1834,MIDSOUTH BANCORP INC,745981
1835,MILLER HERMAN INC,66382
1836,MILLER INDUSTRIES INC /TN/,924822
1837,MIM CORP,1014739
1838,"MINDSPEED TECHNOLOGIES, INC",1224370
1839,MINE SAFETY APPLIANCES CO,66570
1840,MINERALS TECHNOLOGIES INC,891014
1841,MINN DAK FARMERS COOPERATIVE,948218
1842,MIPS TECHNOLOGIES INC,1059786
1843,MISONIX INC,880432
1844,MISSION BROADCASTING INC,1142412
1845,MISSION WEST PROPERTIES INC,1067419
1846,MISSISSIPPI POWER CO,66904
1847,MITEK SYSTEMS INC,807863
1848,MKS INSTRUMENTS INC,1049502
1849,MM COMPANIES INC,1079786
1850,MOBILE MINI INC,911109
1851,MOBILITY ELECTRONICS INC,1075656
1852,MOCON INC,67279
1853,MOD PAC CORP,1191857
1854,MODINE MANUFACTURING CO,67347
1855,MOHAWK INDUSTRIES INC,851968
1856,MOLEX INC,67472
1857,MOLINA HEALTHCARE INC,1179929
1858,MOLSON COORS BREWING CO,24545
1859,MOMENTA PHARMACEUTICALS INC,1235010
1860,MONARCH CASINO & RESORT INC,907242
1861,MONARCH CEMENT CO,67517
1862,MONEYGRAM INTERNATIONAL INC,1273931
1863,MONMOUTH REAL ESTATE INVESTMENT CORP,67625
1864,MONOLITHIC POWER SYSTEMS INC,1280452
1865,MONOLITHIC SYSTEM TECHNOLOGY INC,890394
1866,MONRO MUFFLER BRAKE INC,876427
1867,MONSANTO CO /NEW/,1110783
1868,MONSTER WORLDWIDE INC,1020416
1869,MONTPELIER RE HOLDINGS LTD,1165880
1870,MONY LIFE INSURANCE CO OF AMERICA,835357
1871,MOODYS CORP /DE/,1059556
1872,MOOG INC,67887
1873,MORGAN GROUP HOLDING CO,1162283
1874,MORTONS RESTAURANT GROUP INC,883981
1875,MOTHERS WORK INC,896985
1876,MOTOROLA INC,68505
1877,MOVIE STAR INC /NY/,93631
1878,MPHASE TECHNOLOGIES INC,825322
1879,MRV COMMUNICATIONS INC,887969
1880,MSC INDUSTRIAL DIRECT CO INC,1003078
1881,MTR GAMING GROUP INC,834162
1882,MTS SYSTEMS CORP,68709
1883,MUELLER INDUSTRIES INC,89439
1884,MULTI COLOR CORP,819220
1885,MULTI FINELINE ELECTRONIX INC,830916
1886,MULTIMEDIA GAMES INC,896400
1887,MURPHY OIL CORP /DE,717423
1888,MUTUALFIRST FINANCIAL INC,1094810
1889,MYERS INDUSTRIES INC,69488
1890,MYLAN LABORATORIES INC,69499
1891,MYRIAD GENETICS INC,899923
1892,MACQUARIE INFRASTRUCTURE CO LLC,1289790
1893,"MERCANTILE BANCORP, INC.",1289701
1894,MERITAGE HOMES CORP,833079
1895,NABORS INDUSTRIES LTD,1163739
1896,NACCO INDUSTRIES INC,789933
1897,NANOMETRICS INC,704532
1898,NANOPHASE TECHNOLOGIES CORPORATION,883107
1899,NAPCO SECURITY SYSTEMS INC,69633
1900,NASB FINANCIAL INC,1059131
1901,NASDAQ STOCK MARKET INC,1120193
1902,NASH FINCH CO,69671
1903,NASTECH PHARMACEUTICAL CO INC,737207
1904,NATHANS FAMOUS INC,69733
1905,NATIONAL BANCSHARES CORP /OH/,790362
1906,NATIONAL BANK OF INDIANAPOLIS CORP,912382
1907,NATIONAL BANKSHARES INC,796534
1908,NATIONAL BEEF PACKING CO LLC,1273784
1909,NATIONAL BEVERAGE CORP,69891
1910,NATIONAL FINANCIAL PARTNERS CORP,1183186
1911,NATIONAL FUEL GAS CO,70145
1912,NATIONAL HEALTH INVESTORS INC,877860
1913,NATIONAL HEALTHCARE CORP,1047335
1914,NATIONAL INSTRUMENTS CORP /DE/,935494
1915,NATIONAL OILWELL INC,1021860
1916,NATIONAL PENN BANCSHARES INC,700733
1917,NATIONAL PRESTO INDUSTRIES INC,80172
1918,NATIONAL RESEARCH CORP,70487
1919,NATIONAL RESIDENTIAL PROPERTIES NV INC,1096840
1920,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,70502
1921,NATIONAL SECURITY GROUP INC,865058
1922,NATIONAL WESTERN LIFE INSURANCE CO,70684
1923,NATURAL ALTERNATIVES INTERNATIONAL INC,787253
1924,NATURAL HEALTH TRENDS CORP,912061
1925,NATURES SUNSHINE PRODUCTS INC,275053
1926,NATUS MEDICAL INC,878526
1927,NAUTILUS GROUP INC,1078207
1928,NAVARRE CORP /MN/,911650
1929,NAVIGANT CONSULTING INC,1019737
1930,NAVIGATORS GROUP INC,793547
1931,NAVISTAR INTERNATIONAL CORP,808450
1932,NB&T FINANCIAL GROUP INC,908837
1933,NBC ACQUISITION CORP,1056756
1934,NBT BANCORP INC,790359
1935,NBTY INC,70793
1936,NCI BUILDING SYSTEMS INC,883902
1937,NCR CORP,70866
1938,NELNET INC,1258602
1939,NEOGEN CORP,711377
1940,NEORX CORP,755806
